facility_id,facility_code,name,county,district,type,owner,nearest_town,beds,cots,open_24_hours,open_weekends,operational_status,latitude,longitude
48,21149,Alphond Medical Centre,Kakamega,Mumias West,Medical Clinic,Private Practice - Clinical Officer,Nabongo,3,0,f,f,Operational,0.284767,34.752308
49,13473,Aluor Mission Health Centre,Siaya,Gem,Health Centre,Kenya Episcopal Conference-Catholic Secretariat,Aluor Market,0,0,f,f,Operational,0.066667,34.283333
50,15796,Amagoro Nursing Home,Busia,Teso North,Nursing Home,Private Enterprise (Institution),Amagoro,7,0,f,f,Operational,0.46,34.11
51,20684,Amaiga Dispensary (Manga),Nyamira,Manga,Dispensary,Ministry of Health,Kenyenya Market,2,2,f,f,Operational,-0.633333,34.933333
52,14198,Amakuriat Dispensary,West Pokot,North Pokot,Dispensary,Other Faith Based,Makutano,0,0,f,f,Operational,1.233333,35.116667
53,20213,Amalya Medical Centre,Kiambu,Kikuyu,Medical Clinic,Private Practice - Clinical Officer,Gitaru,0,0,f,f,Operational,-0.303099,36.080026
54,18610,Atela Dispensary,Homa Bay,Rachuonyo South,Dispensary,Ministry of Health,Near Chabera Market,0,6,f,f,Operational,-0.516667,34.45
55,13489,Atemo Health Centre,Homa Bay,Rachuonyo South,Health Centre,Christian Health Association of Kenya,Ringa Market,10,1,f,f,Operational,-0.516667,34.45
56,10041,Athi Dispensary,Kiambu,Thika West,Dispensary,Ministry of Health,Jujafarm,0,0,f,f,Operational,-1.033333,37.066667
57,11934,Athi Kamunyuni Dispensary,Makueni,Kibwezi,Dispensary,Ministry of Health,Kambu,2,0,f,f,Operational,-1.8,37.616667
58,11935,Athi River Community Hospital,Machakos,Athi River,Medical Clinic,Private Enterprise (Institution),Makadara,10,0,f,f,Operational,-1.516667,37.266667
59,11936,Athi River Health Centre,Machakos,Athi River,Health Centre,Ministry of Health,Mavoko,6,4,f,f,Operational,-1.516667,37.266667
60,11937,Athi River Medical Services,Machakos,Athi River,Maternity Home,Private Enterprise (Institution),Makadara,26,0,f,f,Operational,-1.516667,37.266667
61,13295,Athibohol Dispensary,Wajir,Wajir West,Dispensary,Ministry of Health,Griftu,0,0,f,f,Operational,1.75,40.066667
